PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|COUNTY|STATE|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET|NO_BATHS
RN|71811023|BB808729|AN1037|ACT|3800|12|Mount Vernon St.|2|1|018|02129||This furnished two bed, second floor apartment is situated on a quiet, one way street allows flowing access to a private outside garden patio area behind the building. Both bedrooms have a queen size bed with linens, pillows and blankets included. The bright kitchen is fully-equipped with appliances, including a dishwasher, full size refrigerator, as well as pots, pans and cooking utensils for those who prefer cooking at home.  There is a 39” flat screen TV with local channels located in the cozy living room. All rental units are equipped with wireless internet, irons, ironing boards, hair dryers, coffee makers, tea kettles, toasters, microwaves, linens and towels, as well as a guest book with instructions and recommendations.All building and unit doors are on secure, code-activated locks so coordinating key pick-up and drop-off is not necessary.|11|4/3/2015 3:59:00 PM|939525512|Suffolk|MA|D|4|2|1|0||0|0|600|1f;0h
RN|71738853|BB808729|AN1037|ACT|2850|296|Marlborough St|4|1|101|02114||This suite features a large, open kitchen, living and dining room, that looks out onto the tree-lined, brick-paved sidewalks of Marlborough Street. The fact that it is one story above the street gives the unit additional privacy and quiet. There is an original mantle surrounding the ornamental fireplace in the living room and polished hardwood floors run throughout the unit. The bedroom features a queen mattress set, ceiling fan, nightstand, reading lamp and alarm clock. The bathroom is equipped with a tub/shower combo. The kitchen is fully equipped with pots, pans and cooking utensils, with dishwasher, oven, range and refrigerator and there is a dining table that seats four. In addition, there is a work space in the living room with a desk and desk lamp. The living room has a 32” flat screen TV with local channels and the sofa pulls out to a queen bed which makes this the perfect unit for two or four people. There are two bedrooms at: $4,920 and three bedrooms at: $5,200 available.|5|9/5/2014 1:36:00 PM|31|Suffolk|MA|D|3|1|1|0||0|0.45|515|1f;0h
RN|72080819|BB808729|AN1037|ACT|3460|784|Tremont Street|1|1|104|02118||This one bedroom suite and or studio features a full sized, open kitchen and living room that looks out onto a great view of the city and neighborhood.  This brand new unit has polished hardwood floors throughout the unit, central air, marble counter-tops and new stainless steel appliances. The bedroom features a queen mattress set, nightstand, reading lamp and alarm clock. The bathroom has a beautiful glass enclosed stand up shower.The kitchen is fully equipped with pots, pans and cooking utensils, along with oven, range and refrigerator and there is a dining table that seats four.  The living room has a flat screen TV with local channels and the sofa pulls out to a queen bed which makes this the perfect unit for two to four people.This classic Boston property marries original 20th century charm with modern luxuries in the South End neighborhood, one of Boston’s trendiest because of its vibrant restaurants and night life. The unit has great access to public transit & tourist location.|7|10/13/2016 11:55:00 AM|0|Suffolk|MA|D|3|1|1|0||0|0.45|405|1f;0h
RN|72082792|BB808729|AN1037|ACT|3500|383|Commonwealth Avenue|1|1|101|02115||This spacious 1 bedroom unit is characterized by classic Back Bay style and beautiful architectural detail. Among its features are polished hardwood floors, high ceilings and over-sized bay windows that let in great light in both the bedroom and living area.  Nested near the heart of Boston's Back Bay, this is the perfect space for short or long term stays and affords guests quick access to Kenmore/Fenway neighborhood and Cambridge. The units features queen sized bed, nightstand with alarm clock, in-bedroom sitting area and a full dresser with walk in closet.The kitchen is fully equipped with every essential food prep. tool as well as pots, pans, serving utensils, glasses and flatware. Within the kitchen there is also a dishwasher, oven, range and refrigerator. The living space has a flat screen smart TV with cable and HDMI connectivity,as well as a dining table with seating for four. There are also studios available at: $2,950 per month and two bedrooms available at: $4,100 per month.|19|10/18/2016 1:43:00 PM|4095|Suffolk|MA|D|5|1|1|0||0|0|869|1f;0h
RN|72082830|BB808729|AN1037|ACT|5400|387|Commonwealth Ave|3|1|101|02115||This spacious unit is characterized by classic Back Bay style and beautiful architectural detail. Among its features are polished hardwood floors, high ceilings and over sized bay windows that let in great light in both the master bedroom and living area. Nested near the heart of Boston's Back Bay, this is the perfect space for short or long term stays and affords guests quick access to Kenmore/Fenway neighborhood and Cambridge. All three bedrooms feature a queen sized bed, nightstand with USB alarm clock, a full dresser and a large closet. The master bedroom also features a desk. The kitchen is fully equipped with every essential food prep. tool as well as pots, pans, serving utensils, glasses and flatware. Within the kitchen there is also a dishwasher, oven, range and refrigerator. The living space has a flat screen smart TV with cable and HDMI connectivity,as well as a dining table with seating for six.This unit has one bedrooms priced at: $3,340 and two bedrooms priced at: $4,250.|22|1/18/2017 6:19:00 PM|-1610392382|Suffolk|MA|D|7|3|1|0||0|0|976|1f;0h
RN|72102191|BB801363|BB5194|ACT|1995|99|HUDSON|C1|1|110|02111||SUNNY! TERRIFIC DOWNTOWN LOCATION! Proximity card access at main entry; Common Area CCTV surveillance systems; Commercial Laundry in Bldg. on lower level.  Accessible to Subway Lines and Stops   ORANGE LINE @ TUFTS MEDICAL aprx. 1-3 minute walk (0.16 miles)  ORANGE LINE @ CHINATOWN aprx. 5-6 minute walk (0.21 miles)  RED LINE @ SOUTH STATION aprx. 7-8 minute walk (0.43 miles)  GREEN LINE @ BOYLSTON ST. aprx. 5-7 minute walk. (0.31 miles)  SILVER - TUFTS Medical Center aprx. 1-3 minute walk (0.16 miles)    Bus Routes and Stops  SL WASH. - Washington St & TUFTS MEDICAL CENTER (0.14 miles)  11 - Washington St & Kneeland St (0.17 miles)  501 - Surface Artery & Beach St (0.2 miles)  500 - Surface Artery & Beach St (0.2 miles)  504 - Surface Artery & Beach St (0.2 miles)  505 - Surface Artery & Beach St (0.2 miles)  553 - Surface Artery & Beach St (0.2 miles)  556 - Surface Artery & Beach St (0.2 miles)  554 - Surface Artery & Beach St (0.2 miles)  558 - Surface Artery & Beach St (0.2 miles)|5|12/16/2016 8:22:00 PM|38|Suffolk|MA|D|3|1|1|0||0|9999|683|1f;0h
RN|72102192|BB801363|BB5194|ACT|1995|1213|Adams|3|1|05E|02124||Central Heat & A/C, gas-fired system.  Tenant pays util.  Pets negotiable; Pets may be considered by Landlord, be advised a nominal rent increase may apply for pets if approved.|3|12/16/2016 8:28:00 PM|38|Suffolk|MA|D|4|2|1|0||2|9999|985|1f;0h
RN|72111195|TM308356|NB1840|ACT|3400|38-42|Hyde Park Ave.|6|1|007|02130||FREE RENT FOR JANUARY 2018. BE THE FIRST ONE TO LIVE IN THIS BRAND NEW CONSTRUCTION UNIT. Beautiful 3 bedroom, 2 bath unit on the top floor in a multi-unit building located less than 5 minutes from Forest Hill, orange line train station. Unit features a living room and modern kitchen with granite countertops and stainless steel appliances. Hardwood floors throughout. Private washer/dryer in the unit. Central A/C. PRIVATE ROOF DECK WITH AN AMAZING VIEW OF THE CITY. Garage parking available for $185/month. Easy access to the orange line train station. Very convenient to Northeastern University, Wentworth University and Downtown Crossing. Cat friendly for $25/month. Dog is considered on a case by case basis for an additional $75/month upon landlord's approval. Security deposit negotiable. ****Sample pictures used of our sample finishes. Not an actual picture of a unit****|6|11/21/2017 10:37:00 AM|9|Suffolk|MA|D|5|3|2|0||0|9999|1000|2f;0h
RN|72112448|BB805772|AC0443|ACT|7200|1282|Boylston St|1514|1|105|02215||This corner Penthouse 2BR overlooking the Back Bay skyline, Fens, and Fenway Park features master bedroom with en suite bathroom and walk-in closet. Open design with tall ceilings, window walls, wide plank flooring and modern finishes give this new apartment the perfect finishing touches. The Viridian, stylish new apartments in Fenway, offers discerning renters brand new apartments in a location steps to LMA hospitals, the MFA, Fenway Park, and the bustling Fenway restaurant scene. 24/7 concierge, 20th floor Sky Deck w/reservable Greenhouse event space, grill, outdoor TV, dining and seating areas, 15th floor Sun Deck w/outdoor showers, movie screening & lounge areas, The Jade Room for relaxing or meetings, and a health club make it an ideal place to call home.  Onsite garage parking available for rent.   Sorry no undergrads please|26|12/8/2017 2:32:00 PM|176309603|Suffolk|MA|D|4|2|2|0|Y|0|9999|1563|2f;0h
RN|72112729|BB954486|NB5359|ACT|4700|4|Emerson Place|1|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished unit with breathtaking river and city views.  Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in unit and kitchen with stainless steel appliances and granite counters.  The building features 24/7 concierge and security, 24 hour fitness center, conference room, lounge, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area.   Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|5|1/26/2017 4:39:00 PM|440871|Suffolk|MA|D|4|1|1|0|Y|1|0|850|1f;0h
